"","id","name","genre","curator","percentile"
"1",1,"NA Breeze Simulated Playlist","Pop, K-pop, Dance, EDM, Funk, Punk, Country, Soul, Indie, Folk, Blues, WorldMusic, Latin, RnB, Alternative, hiphop, Gospel, SwedishHouse, Classical, Metal, Jazz","Spotify","tail"
"2",2,"happy Test Simulated Playlist","Alternative, Pop, Reggae, Punk, WorldMusic","Professional","tail"
"3",3,"happy Repository Simulated Playlist","Country, SwedishHouse, Blues, Classical, WorldMusic, Reggae, EDM, Latin, Metal, RnB, hiphop, Pop, Rock, Jazz, K-pop, Punk, Folk, Gospel, Funk, Dance, Alternative, Soul, Indie","MajorLabel","tail"
"4",4,"happy Rhythm Simulated Playlist","Indie, WorldMusic, Blues, SwedishHouse, Folk, Gospel, K-pop, Latin, Rock, Jazz, Reggae, Pop, RnB, Classical, Metal","Spotify","tail"
"5",5,"ecstasy Dream Simulated Playlist","EDM, Alternative, K-pop, Classical, WorldMusic, SwedishHouse, Indie, Dance, Jazz, Rock, Punk, Blues, Country, Metal, RnB, Pop, Funk","Spotify","top1%"
"6",6,"NA Rhythm Simulated Playlist","Funk, SwedishHouse, Metal, RnB, hiphop, Latin, Dance, Punk, Folk, Alternative, Gospel, Rock","MajorLabel","top1%"
"7",7,"angry Repository Simulated Playlist","Soul, K-pop","Indie","top1%"
"8",8,"mood Simulated Simulated Playlist","Dance, RnB, Alternative, Reggae, Gospel, Punk","User","top1%"
"9",9,"ecstasy Aurora Simulated Playlist","Pop","MajorLabel","top1%"
"10",10,"heart broken Breeze Simulated Playlist","Metal, Folk, Jazz, Latin","Professional","tail"
"11",11,"angry Echoes Simulated Playlist","Dance, Indie, WorldMusic, RnB, Rock, Reggae, Classical, Metal, Gospel, Punk, Funk, Folk, Pop, SwedishHouse, Jazz, EDM, Soul, Latin","Professional","top10%"
"12",12,"joy Fusion Simulated Playlist","WorldMusic","User","top1%"
"13",13,"feel Fusion Simulated Playlist","Reggae, Metal, K-pop","MajorLabel","top1%"
"14",14,"joy Fusion Simulated Playlist","hiphop, K-pop, Rock, Dance","Professional","top30%"
"15",15,"ecstasy Zenith Simulated Playlist","WorldMusic","Indie","top1%"
"16",16,"good Zenith Simulated Playlist","Dance, Alternative, hiphop, Blues, SwedishHouse, K-pop, Jazz, Funk, Reggae, Metal, Classical, Punk, Soul, Country, Indie, Rock, WorldMusic, RnB, Gospel","Indie","top1%"
"17",17,"NA Melody Simulated Playlist","Latin, Soul, EDM, Indie, Gospel, Funk, K-pop, Blues, Classical, Country, WorldMusic, Dance, Folk, SwedishHouse, Punk, Metal, Pop, Alternative, hiphop, Reggae, Rock, Jazz, RnB","Indie","tail"
"18",18,"fuzzy Mystic Simulated Playlist","Folk, Reggae, Pop, Dance, Gospel, Rock, Country","User","top1%"
"19",19,"mood Celestial Simulated Playlist","Soul, Alternative, SwedishHouse, Country, Dance, K-pop, Folk, RnB, Indie, Blues, Latin, EDM, Rock, Jazz, Punk, WorldMusic, Classical, hiphop, Reggae, Metal, Funk, Gospel, Pop","MajorLabel","tail"
"20",20,"ecstasy Rhythm Simulated Playlist","SwedishHouse, Alternative, Classical, Jazz, Latin, Dance, Blues, Country, WorldMusic, Pop, Folk, Metal, Indie, RnB, hiphop, Reggae, Gospel, Punk, Rock, EDM, K-pop, Funk","Spotify","top10%"
"21",21,"heart broken Test Simulated Playlist","Folk, Funk, Country, Indie, SwedishHouse, K-pop, RnB, Dance, Classical, EDM, hiphop, Reggae, Pop, Gospel, Blues, Latin, Soul","Spotify","top1%"
"22",22,"good Chill Simulated Playlist","Funk, RnB, Dance, Latin, Alternative, Jazz, SwedishHouse, Reggae, Classical, EDM, Country, Punk, K-pop, hiphop, Pop, Gospel, Metal, Soul, Rock","Spotify","top1%"
"23",23,"Non-mood Repository Simulated Playlist","Folk","Spotify","tail"
"24",24,"feel Fusion Simulated Playlist","Blues, Jazz, EDM, Metal, Reggae, K-pop, Folk, Alternative, Punk, Indie, Dance, Country, Rock","Spotify","top1%"
"25",25,"ecstasy Dream Simulated Playlist","Pop","MajorLabel","top30%"
"26",26,"mood Eclipse Simulated Playlist","Soul, K-pop, Jazz, RnB, Metal, Funk, SwedishHouse, Alternative, Classical, Reggae, Gospel, Latin, Folk, EDM, Indie, Pop, Dance, Rock","Professional","top1%"
"27",27,"Non-mood Harmony Simulated Playlist","Classical, Country, K-pop, EDM, hiphop, WorldMusic, Gospel, Indie, Metal, Latin, Funk, Soul, Dance","MajorLabel","tail"
"28",28,"lonely Soul Simulated Playlist","Pop, Gospel, Reggae, Folk, Blues, Classical, RnB, Jazz, SwedishHouse, Latin, Country, Dance","MajorLabel","tail"
"29",29,"angry Breeze Simulated Playlist","Gospel, Alternative, Indie, K-pop, Jazz, RnB, Country","Indie","top1%"
"30",30,"happy Vibe Simulated Playlist","Classical","Indie","top30%"
"31",31,"joy Celestial Simulated Playlist","WorldMusic, Indie, Country","Professional","tail"
"32",32,"heart broken Pulse Simulated Playlist","Rock, RnB, K-pop, hiphop, EDM, Country, Pop, Blues, Alternative","User","top10%"
"33",33,"bored Euphoria Simulated Playlist","WorldMusic, Punk, Classical, Blues, SwedishHouse, Reggae, Folk, Soul, Country, Alternative, Pop, Gospel, RnB, K-pop, Latin, hiphop, Rock, Indie, Dance, Metal, Jazz, Funk, EDM","Professional","tail"
"34",34,"fuzzy Melody Simulated Playlist","Indie, EDM, Soul","Indie","top10%"
"35",35,"mood Chill Simulated Playlist","Jazz, Pop, Folk","MajorLabel","top10%"
"36",36,"heart broken Test Simulated Playlist","Classical, Blues, Metal, Dance, Funk, hiphop, Indie","Indie","top1%"
"37",37,"surprise Radiance Simulated Playlist","hiphop, Folk, EDM, WorldMusic, Alternative, Country, Reggae, Gospel","Spotify","top30%"
"38",38,"happy Odyssey Simulated Playlist","Funk, WorldMusic, Jazz, Metal, Reggae, hiphop, SwedishHouse","Professional","tail"
"39",39,"angry Nebula Simulated Playlist","RnB","Professional","top10%"
"40",40,"angry Odyssey Simulated Playlist","Classical","User","top30%"
"41",41,"Breeze Simulated Playlist","Punk, Rock, Folk, Reggae, Funk, Alternative, Classical, Blues, EDM, RnB, Metal","MajorLabel","top30%"
"42",42,"joy Repository Simulated Playlist","Reggae, WorldMusic, Pop, RnB","User","tail"
"43",43,"bored Simulated Simulated Playlist","Pop, K-pop, hiphop, Dance, Reggae, Gospel, SwedishHouse, Classical, Rock, Latin, Soul","Professional","top30%"
"44",44,"ecstasy Echoes Simulated Playlist","Funk, RnB, EDM, Gospel, Dance","Indie","top10%"
"45",45,"angry Echoes Simulated Playlist","Pop, EDM","Spotify","top10%"
"46",46,"Non-mood Simulated Simulated Playlist","Rock, hiphop, Reggae, Country, Latin, Punk, Gospel, Folk, K-pop, Indie, Blues, Classical, SwedishHouse, RnB","Indie","top30%"
"47",47,"surprise Rhythm Simulated Playlist","Punk, Metal, Folk, WorldMusic, Indie, Latin, Country, Classical, EDM, Rock, K-pop, Pop, Jazz, Alternative, Reggae, hiphop, Dance, Blues, Gospel, SwedishHouse, Soul, Funk","Indie","top1%"
"48",48,"mood Reverie Simulated Playlist","Soul, K-pop, Dance, Blues, Indie, Jazz, Pop, RnB, Rock, Punk, Classical, EDM, Folk, Country, Alternative, Metal, Funk, WorldMusic, Latin, SwedishHouse","MajorLabel","top10%"
"49",49,"Serenity Simulated Playlist","Rock, Latin, EDM, Blues, Country, Jazz, Dance, Funk, Alternative, Classical, hiphop, Indie, Pop, Gospel, WorldMusic, Soul, Metal","User","top30%"
"50",50,"happy Nebula Simulated Playlist","Soul, Alternative, Funk, K-pop, Punk, Folk, Rock, Metal, Pop, Dance, Reggae, Classical, Indie, EDM, Jazz, hiphop","Indie","top30%"
"51",51,"lonely Breeze Simulated Playlist","Reggae, K-pop, Metal","User","top1%"
"52",52,"fuzzy Odyssey Simulated Playlist","Alternative, Reggae, Latin, Punk, SwedishHouse, Blues, WorldMusic, hiphop, Metal, EDM, Country, K-pop, Rock, Funk, Classical, Dance, Folk, Soul","User","top30%"
"53",53,"Aurora Simulated Playlist","Country, Reggae, Classical, Rock, Funk, Pop, hiphop, Metal, Blues, K-pop, Soul","Indie","tail"
"54",54,"heart broken Soul Simulated Playlist","Alternative, RnB, Pop, EDM, Classical, Latin, Metal, Country, Funk, Gospel, Folk, Soul, Jazz","User","tail"
"55",55,"surprise Zenith Simulated Playlist","Rock, K-pop, Pop, Dance, Alternative, Soul, hiphop, EDM, Classical, Punk, Indie","Spotify","top1%"
"56",56,"joy Wanderlust Simulated Playlist","Metal, hiphop, WorldMusic, Classical, Folk, Rock, EDM, Indie, Country, Latin, K-pop, Blues, Dance, Jazz, Alternative, Punk, Funk","MajorLabel","top10%"
"57",57,"bored Aurora Simulated Playlist","Pop, hiphop, Rock, Jazz, Folk, Country, Reggae, Gospel, Latin, SwedishHouse, EDM, Blues, RnB, K-pop, Punk, Soul, Funk, Classical, Alternative, Dance","User","tail"
"58",58,"bored Harmony Simulated Playlist","K-pop, RnB, Reggae, Rock, Latin","User","top30%"
"59",59,"Non-mood Echoes Simulated Playlist","Blues, Indie, Funk, EDM, Gospel, Alternative, Dance, RnB, Reggae, Folk, Pop","Professional","tail"
"60",60,"ecstasy Nebula Simulated Playlist","Reggae, SwedishHouse, Pop, Alternative, K-pop","MajorLabel","tail"
"61",61,"heart broken Test Simulated Playlist","K-pop, Jazz, Pop, Gospel, RnB, hiphop, Alternative, Latin, Indie, Funk, EDM","Professional","top1%"
"62",62,"NA Soul Simulated Playlist","K-pop, SwedishHouse, EDM, Classical, Folk, Soul, Reggae, hiphop, Punk, Metal, Blues, Pop, Rock, Country, Indie, RnB, WorldMusic","User","top10%"
"63",63,"feel Soul Simulated Playlist","Pop, Blues, Jazz, Country, Indie, WorldMusic, Dance, hiphop, Gospel, Classical, SwedishHouse, Folk, EDM, Rock, K-pop, Funk","User","top1%"
"64",64,"happy Beats Simulated Playlist","K-pop, Blues, WorldMusic, hiphop, Classical, Gospel, Punk, Country, Reggae, Soul, Alternative, Folk, Rock, Indie, Pop, Jazz, SwedishHouse, Dance","Spotify","top10%"
"65",65,"Cosmos Simulated Playlist","Blues, Alternative, Funk, RnB","Spotify","top1%"
"66",66,"angry Test Simulated Playlist","Funk, Latin, Reggae, Classical, Metal, Blues, Punk, Dance, EDM, Pop, Soul, Country, K-pop, RnB, Gospel, Rock, WorldMusic, SwedishHouse, Jazz, Alternative, Indie, hiphop, Folk","Professional","top10%"
"67",67,"good Vibe Simulated Playlist","Country, Reggae, Indie, WorldMusic, Soul, hiphop, Punk, Folk, Rock, K-pop, SwedishHouse, Latin, Funk, Blues, Alternative, RnB, Dance, EDM, Pop, Jazz, Classical","Professional","top10%"
"68",68,"angry Melody Simulated Playlist","WorldMusic, Jazz, RnB, K-pop, Reggae, Pop, Country, Folk, EDM, Blues, Punk, Latin, hiphop, Indie, Funk, Rock, SwedishHouse, Soul","Professional","top1%"
"69",69,"ecstasy Reverie Simulated Playlist","hiphop, Soul, WorldMusic, Funk, Rock, Reggae, Indie, Classical, Folk, Jazz, Blues, Latin, Metal, EDM, RnB, Country, K-pop, SwedishHouse, Punk","Professional","tail"
"70",70,"NA Soul Simulated Playlist","Punk, EDM, K-pop, Classical, Rock, Reggae, Funk","Indie","top30%"
"71",71,"Echoes Simulated Playlist","EDM, Alternative, WorldMusic, Blues, K-pop, Indie, hiphop, Metal, Jazz, Reggae, Soul, Latin, Classical, RnB","MajorLabel","tail"
"72",72,"bored Horizon Simulated Playlist","Jazz, Metal, Country, hiphop, Soul, Pop","Professional","tail"
"73",73,"lonely Soul Simulated Playlist","Alternative, Classical, EDM, Soul, Metal","User","top1%"
"74",74,"NA Test Simulated Playlist","hiphop, Alternative, Jazz, SwedishHouse, Soul, Reggae, K-pop, RnB, Punk, Folk, Blues, Gospel, Pop, EDM, Classical, Indie","User","top1%"
"75",75,"Non-mood Melody Simulated Playlist","Reggae, Jazz, Folk","MajorLabel","top30%"
"76",76,"joy Melody Simulated Playlist","Indie, SwedishHouse, Funk, Rock, Classical, Metal, Dance, Jazz, K-pop, Gospel, Pop, Country, hiphop","Spotify","top1%"
"77",77,"happy Pulse Simulated Playlist","hiphop, Pop, RnB, Dance, K-pop, Punk, Rock, Jazz, EDM, Indie, Classical, SwedishHouse, Reggae, WorldMusic, Latin, Blues, Country, Funk, Alternative, Gospel, Metal, Folk","Professional","tail"
"78",78,"ecstasy Celestial Simulated Playlist","Funk, RnB, Latin, Reggae, Alternative, Dance, Country, Gospel, Pop, K-pop, Folk, Rock, SwedishHouse, Soul","Professional","tail"
"79",79,"joy Pulse Simulated Playlist","RnB, Gospel","Professional","tail"
"80",80,"angry Mystic Simulated Playlist","Latin, Metal, Gospel, RnB, EDM, Reggae, Rock, Folk","User","top1%"
"81",81,"mood Chill Simulated Playlist","EDM, Dance, hiphop, Metal, Blues, Alternative, Gospel, Jazz, Punk, Classical","Spotify","top1%"
"82",82,"Non-mood Twilight Simulated Playlist","Dance, Alternative, hiphop, Rock, Reggae, Latin, K-pop, Folk, SwedishHouse, RnB, Funk","MajorLabel","top10%"
"83",83,"surprise Mystic Simulated Playlist","Blues, K-pop, SwedishHouse, Pop, Latin, Jazz, RnB","MajorLabel","top1%"
"84",84,"joy Test Simulated Playlist","EDM, WorldMusic, Jazz, Blues, Gospel, Punk","User","tail"
"85",85,"heart broken Echoes Simulated Playlist","hiphop, Metal, Punk, Jazz, Latin, Rock, RnB, Country, Dance, Soul, Classical, Gospel, Pop, Blues, WorldMusic, EDM, Folk, Funk","Indie","top10%"
"86",86,"NA Vibe Simulated Playlist","Pop, Jazz, Reggae, Classical, Alternative, SwedishHouse, RnB, Metal, hiphop, Blues, Punk, Gospel, Indie, K-pop","MajorLabel","top1%"
"87",87,"joy Soul Simulated Playlist","Indie, Country, Classical, Metal, Dance, Punk, Latin, Soul, WorldMusic, SwedishHouse","Spotify","tail"
"88",88,"Non-mood Twilight Simulated Playlist","Funk, Soul, Alternative, Latin","Spotify","top1%"
"89",89,"Non-mood Echoes Simulated Playlist","Pop, Indie, Alternative, Latin, Gospel, Jazz, EDM, Punk, Rock, WorldMusic","Spotify","top1%"
"90",90,"joy Pulse Simulated Playlist","K-pop, RnB, Alternative, hiphop, Country","User","top1%"
"91",91,"surprise Melody Simulated Playlist","WorldMusic, hiphop, Pop, K-pop, Reggae, RnB, Alternative","Spotify","top1%"
"92",92,"Non-mood Vibe Simulated Playlist","Gospel, WorldMusic, Jazz, K-pop, SwedishHouse, Soul, hiphop, Blues, Rock","MajorLabel","top1%"
"93",93,"Radiance Simulated Playlist","SwedishHouse, Folk, Metal, Reggae, Rock, Pop, Dance, EDM, Classical, WorldMusic, Jazz, Alternative","Professional","top30%"
"94",94,"joy Horizon Simulated Playlist","Rock, Pop, WorldMusic, Country, Soul, Metal, Gospel, Alternative, Punk, SwedishHouse","Professional","top10%"
"95",95,"ecstasy Repository Simulated Playlist","WorldMusic, Rock, Pop, Classical, Blues, SwedishHouse, Gospel, K-pop, RnB, hiphop, Reggae, Punk, Alternative, Jazz, Soul, Dance","Indie","top30%"
"96",96,"angry Odyssey Simulated Playlist","Alternative, Dance, EDM, Punk, Indie, Country, Blues, Funk, Jazz, Soul, Metal, RnB, Gospel, hiphop, Pop, SwedishHouse","Indie","top10%"
"97",97,"Cosmos Simulated Playlist","Latin, Pop, Rock, K-pop, EDM, Funk, Soul, Jazz, Alternative, Classical, Reggae, WorldMusic, RnB, Country, Metal, SwedishHouse, Blues, Gospel, Indie","Spotify","top30%"
"98",98,"Twilight Simulated Playlist","Pop, Country, SwedishHouse, Blues, Reggae, Funk, Latin, Dance, K-pop, Folk, Rock, EDM, Soul, Gospel, Metal, hiphop, Jazz, WorldMusic","Spotify","tail"
"99",99,"lonely Beats Simulated Playlist","RnB, Alternative, Rock, hiphop, EDM, Dance, Pop, Soul, Blues, WorldMusic, Latin, Country, Reggae, Gospel, Folk","Indie","top30%"
"100",100,"NA Zenith Simulated Playlist","Alternative, RnB, SwedishHouse, Pop, K-pop, Soul","Professional","top30%"
"101",101,"mood Repository Simulated Playlist","Pop, Funk","Spotify","tail"
"102",102,"Non-mood Beats Simulated Playlist","Dance, K-pop, Soul, Gospel, WorldMusic","Indie","tail"
"103",103,"bored Simulated Simulated Playlist","Jazz, Blues, EDM, Indie, Punk","Professional","top30%"
"104",104,"NA Fusion Simulated Playlist","EDM, Soul, K-pop, hiphop, Funk, Blues, Classical, SwedishHouse, Latin, Jazz, Indie, Reggae, Gospel, Folk, Alternative, Punk, Rock, RnB, WorldMusic, Metal, Dance, Country","Professional","top30%"
"105",105,"Non-mood Celestial Simulated Playlist","Dance, Gospel, EDM, WorldMusic, SwedishHouse, Soul, Indie, Classical, Latin, Jazz, Rock","Spotify","top10%"
"106",106,"feel Github Simulated Playlist","WorldMusic, Blues, Funk, Jazz, hiphop, EDM, Dance, Pop, Classical, Metal, Soul, RnB, K-pop, Punk, SwedishHouse, Indie, Reggae, Rock, Folk, Country, Gospel","Indie","tail"
"107",107,"NA Melody Simulated Playlist","hiphop, Folk, Latin, Funk, Blues, Pop, Gospel, Punk, WorldMusic, Jazz, Alternative, Rock, Reggae, RnB, Dance, Indie, EDM, Soul, Country, SwedishHouse","MajorLabel","top30%"
"108",108,"surprise Radiance Simulated Playlist","Folk, Dance, Jazz, Punk, Classical, Gospel","Spotify","top10%"
"109",109,"heart broken Horizon Simulated Playlist","Country, K-pop, Alternative, Jazz, Soul, Folk, Dance, Blues, Funk, SwedishHouse, EDM, RnB","Indie","top1%"
"110",110,"fuzzy Eclipse Simulated Playlist","Alternative, Funk, Latin, SwedishHouse, Pop, Dance, hiphop, Gospel, Reggae, Classical, Blues","Professional","top1%"
"111",111,"good Twilight Simulated Playlist","Classical, K-pop, Jazz, Funk, Reggae, Soul, Indie, EDM, RnB, Gospel, WorldMusic, Country, Blues, Punk, Metal, SwedishHouse, Pop, Alternative, Rock, hiphop","User","top1%"
"112",112,"fuzzy Chill Simulated Playlist","EDM, Indie, Folk, Latin, Punk, Jazz, Blues, RnB, Funk, Gospel, K-pop, Country","MajorLabel","top30%"
"113",113,"ecstasy Twilight Simulated Playlist","SwedishHouse, Pop, EDM, Indie, Rock, Funk, WorldMusic, RnB, Latin, Soul, Jazz, Dance, Gospel, Punk","Professional","top1%"
"114",114,"fuzzy Fusion Simulated Playlist","K-pop","User","top30%"
"115",115,"feel Wanderlust Simulated Playlist","Punk, Dance, Jazz, EDM, Classical, Reggae, Indie, hiphop, Folk","MajorLabel","top10%"
"116",116,"lonely Eclipse Simulated Playlist","hiphop, Metal, Country, Gospel, Pop, SwedishHouse, WorldMusic, Indie, Jazz, EDM, Blues, Folk, Funk, Classical, Rock, Latin","Professional","top30%"
"117",117,"NA Mystic Simulated Playlist","Soul, Rock, Gospel","Spotify","top1%"
"118",118,"heart broken Eclipse Simulated Playlist","Punk, Dance, Country, Reggae, Blues, Pop, hiphop, Gospel, Jazz, Funk, Metal, Soul, Classical, Alternative, WorldMusic, Rock, SwedishHouse, EDM","MajorLabel","tail"
"119",119,"fuzzy Repository Simulated Playlist","Alternative","MajorLabel","top30%"
"120",120,"bored Test Simulated Playlist","Soul, Dance","MajorLabel","top30%"
"121",121,"lonely Breeze Simulated Playlist","WorldMusic, EDM, Gospel, Folk, Metal, Classical, Funk, Blues, Indie, Dance","Professional","top30%"
"122",122,"Fusion Simulated Playlist","EDM, hiphop, Dance, Folk, Reggae, WorldMusic, Latin, Alternative, Jazz, Classical","Indie","top10%"
"123",123,"angry Eclipse Simulated Playlist","Funk, hiphop, SwedishHouse, Reggae, Dance, Country, Latin, Pop, Jazz, Alternative, Metal, Punk, RnB, WorldMusic, K-pop, Folk, Soul, Classical","MajorLabel","top1%"
"124",124,"Dream Simulated Playlist","Funk, Country, RnB, Latin, SwedishHouse, Reggae, Folk, Rock, Classical, Alternative, Dance","Indie","top10%"
"125",125,"good Zenith Simulated Playlist","Funk, RnB, Soul, Rock, Folk, Jazz, Indie, Dance, K-pop, hiphop, Metal, EDM, Pop, Blues, Punk, WorldMusic, Alternative, Country, Reggae","User","top10%"
"126",126,"mood Rhythm Simulated Playlist","Folk, K-pop, hiphop, Latin, Dance, EDM, Alternative, Funk, Soul, Punk, Jazz, Rock, Country, Classical, Blues, Metal, RnB, WorldMusic, Reggae, Gospel","Spotify","top30%"
"127",127,"lonely Soul Simulated Playlist","EDM, Blues, Soul, Rock, WorldMusic, Metal, Country, RnB, hiphop, Indie, Folk, Pop, Jazz, Gospel","User","top1%"
"128",128,"NA Bliss Simulated Playlist","Gospel, EDM, SwedishHouse, Country, Punk, Blues, Jazz, Latin, Indie, K-pop, RnB, Pop, Alternative, Classical, Dance, Soul, Rock, hiphop, Folk, Metal","User","top1%"
